temperature,humidity,light,action
15.78763593,50.44507075,876.1336202,[1]
28.73931094,45.23490735,479.7599816,[1]
18.5216034,53.0442895,772.3934425,[1]
24.49107658,76.62108697,329.8093423,[1]
20.18188638,54.12807219,141.2444677,[1]
16.61373824,57.52214018,893.5452425,[1]
16.87400759,64.41004837,53.06467695,[1]
24.38192487,46.61728546,974.1656851,[1]
24.14505083,66.00327116,535.1452739,[1]
29.59056708,57.81604657,185.3138425,[1]
24.6168838,38.83342699,104.2072319,[2]
26.51981133,45.75967617,109.56339,[2]
24.99733075,48.10346694,953.1587162,[2]
29.3070004,53.43222828,949.603994,[2]
20.77736264,44.69200685,807.976999,[2]
24.53867758,36.82275719,864.3641314,[2]
16.86963815,47.14354615,7.055130253,[2]
17.55464453,41.39322225,163.6869732,[2]
20.79073857,35.06156951,801.2233428,[2]
19.10447208,73.53925138,116.2649571,[2]
24.25833258,40.49277121,991.9578708,[3]
19.05446956,46.41069381,404.3528494,[3]
17.93247295,70.34511091,499.7685596,[3]
16.20736241,70.92976981,523.0187671,[3]
18.00439443,61.1810744,920.7942003,[3]
20.96373194,55.65343745,533.7855134,[3]
20.53475082,72.64184171,634.9539828,[3]
16.35013025,30.73107074,799.644714,[3]
18.85919054,36.2110423,469.373748,[3]
27.4034173,42.82107524,521.928869,[3]
20.33163718,55.10876886,664.9359691,[4]
23.1127147,56.43954507,631.4308073,[4]
20.5710107,55.80527024,520.6725423,[4]
24.34489375,30.57708935,787.7052749,[4]
25.75008415,79.47726562,405.692988,[4]
24.37517659,33.86047054,540.1694788,[4]
16.34935019,64.66579564,656.1386535,[4]
16.61052081,59.04266726,551.8920428,[4]
29.09080859,41.56809648,322.7664647,[4]
17.72157988,48.78892163,778.557462,[4]
22.72852436,56.99065437,760.235607,[5]
26.61579135,58.2970152,54.49672475,[5]
27.31878548,35.78401176,706.3439294,[5]
26.49516056,56.42339795,937.053739,[5]
16.60692098,31.63638872,325.1299222,[5]
16.01555483,72.85752814,108.5733649,[5]
19.13187276,30.55094315,153.3200033,[5]
29.95885016,75.59403175,443.975551,[5]
17.06314499,51.92288037,137.9493695,[5]
21.1956527,68.26177914,464.1290811,[5]
20.64467985,32.27804556,501.9978095,[6]
15.35493656,57.3615781,908.215044,[6]
15.61192173,79.57959045,222.0970558,[6]
19.79137894,77.98939272,219.3140153,[6]
22.40388133,38.94868196,138.5535167,[6]
22.58488686,34.04406944,130.029903,[6]
24.32015779,77.28429004,961.0473909,[6]
28.6612506,66.44176768,354.4586553,[6]
23.54897755,38.11070798,23.71466133,[6]
17.43545746,74.75911279,847.2904878,[6]
25.35903312,37.01950902,750.838698,"[1, 2]"
19.92866376,76.15084976,946.782905,"[1, 2]"
26.45987343,61.27249118,397.4060689,"[1, 2]"
25.33088517,45.33413663,922.2771908,"[1, 2]"
27.73089466,51.92139021,603.4494442,"[1, 2]"
17.22074717,54.30671584,221.4103437,"[1, 2]"
24.50128016,57.60291752,386.7009983,"[1, 2]"
22.35505654,49.71079173,110.9383012,"[1, 2]"
21.05396765,32.52500091,79.44210303,"[1, 2]"
28.05407508,38.71946939,965.8101134,"[1, 2]"
20.45022432,66.97868816,920.7800638,"[1, 3]"
23.02708224,43.80765449,543.6089498,"[1, 3]"
28.3912938,55.45327077,551.1406303,"[1, 3]"
15.90919758,51.33481222,866.2827985,"[1, 3]"
16.51335356,77.75815668,415.0254776,"[1, 3]"
18.45964817,76.49494111,145.7537923,"[1, 3]"
19.38957775,54.84297008,307.2055399,"[1, 3]"
20.25405166,59.20045112,617.9787057,"[1, 3]"
26.41828992,74.17521853,541.5758333,"[1, 3]"
18.17413468,56.16166776,8.085303886,"[1, 3]"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
28.16852014,60.09652368,426.2288868,"[1, 5]"
26.58167392,51.88823081,175.1755589,"[1, 5]"
17.16584482,51.04900163,66.51525223,"[1, 5]"
28.6816022,52.61814359,842.5796137,"[1, 5]"
25.20058639,73.36181662,184.8292838,"[1, 5]"
23.37085629,35.37939347,335.2003966,"[1, 5]"
19.92001924,75.47287099,919.8587977,"[1, 5]"
16.60875845,75.24792948,464.0115479,"[1, 5]"
18.78822831,41.08719724,38.02577306,"[1, 5]"
26.26319912,45.04831066,770.4732335,"[1, 5]"
18.80949082,67.52934238,72.78448028,"[1, 6]"
28.67798064,43.52816277,18.31472929,"[1, 6]"
18.50691698,49.26188121,557.3457812,"[1, 6]"
29.75345677,65.12141,704.8095683,"[1, 6]"
17.62739997,59.90431468,18.35283437,"[1, 6]"
26.70469093,37.30683953,301.2271267,"[1, 6]"
17.55418142,63.22800506,713.4853955,"[1, 6]"
29.36869857,35.44112898,124.001176,"[1, 6]"
16.79671388,36.82048992,671.8348307,"[1, 6]"
23.89631858,53.37117577,20.04520825,"[1, 6]"
26.52626331,40.41700994,568.995261,"[2, 3]"
19.71735923,50.60804928,688.4805126,"[2, 3]"
15.05227392,64.05715511,124.9218906,"[2, 3]"
29.07317737,64.07837035,477.184868,"[2, 3]"
24.79686133,47.77354259,18.55436047,"[2, 3]"
18.17407281,50.66762095,90.66836602,"[2, 3]"
24.032624,66.82353436,752.860447,"[2, 3]"
17.57447272,57.44625247,234.1659993,"[2, 3]"
21.56776609,50.49125661,139.7174766,"[2, 3]"
15.44906081,57.52789639,264.057925,"[2, 3]"
23.51670076,66.01506909,101.1528302,"[2, 4]"
17.43515536,58.12273284,292.3652872,"[2, 4]"
28.77669354,58.62428265,769.1679233,"[2, 4]"
21.20438728,36.40851451,263.1784394,"[2, 4]"
16.30301851,44.59491238,407.8676016,"[2, 4]"
19.15994424,75.50912471,158.3516817,"[2, 4]"
15.34648207,63.41185976,877.70548,"[2, 4]"
25.70548754,68.6840404,655.8418618,"[2, 4]"
25.25276113,42.81203614,516.5161715,"[2, 4]"
29.45988136,35.52617379,605.7782367,"[2, 4]"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
