# CSV-File created with merge-csv.com
# -----------------------------------------------------------

temperature,humidity,light,action
18.30572226054935,68.4225002585694,380.1575464632383,"[1, 6]"
18.319133186695616,58.68299286580108,618.2818842209684,"[1, 5]"
27.08252223511572,50.78912748935739,853.7979583288525,[5]
19.4008041567661,72.03551451107461,878.5093284161288,"[1, 5, 6]"
21.974793192491877,54.412154188357846,516.4654645678366,[5]
22.695054842113517,72.09448731373169,852.7516148761185,"[5, 6]"
28.630637903387797,60.21724338078071,362.1588686334197,[6]
20.54023859644737,75.2482762268927,429.6719693163016,[6]
26.03868878614596,69.91153462583594,610.7004684609585,"[5, 6]"
27.35641773630872,68.46026311863248,361.9296364361436,[6]
18.900917113199345,64.03362787281247,841.2785207856674,"[1, 5, 6]"
21.315586523032863,57.517681837942966,831.096516085791,[5]
22.65613131062334,68.30254459096577,319.36801672406904,[6]
29.25718996323078,52.76027376316272,794.4076918530602,[5]
20.895940150685544,51.09532598575231,753.8981071086542,[5]
20.36483425525985,74.97211516017863,498.175786725408,[6]
18.542828572888357,53.75788506567781,709.4733863603963,"[1, 5]"
27.94068632258952,78.98039934460698,440.23691432444826,[6]
23.99443767076896,52.82797104912116,456.27071079444977,[0]
19.91023737683753,61.39252663223459,570.0656019463761,"[1, 5, 6]"
26.038185046498832,74.2518000668853,315.24119944084924,[6]
19.219699320133117,77.25362334098239,776.4746946783462,"[1, 5, 6]"
28.650574226296072,56.651879476254,384.7246165933668,[0]
19.583466782285036,52.26106104924116,783.4820597785547,"[1, 5]"
19.20188191481873,61.10073906359442,433.92552656147,"[1, 6]"
27.066354712199576,70.14611411184687,338.9946412199243,[6]
23.733841927178645,71.59297681462766,864.3058275402955,"[5, 6]"
28.71184701258671,79.30875893976963,631.054803942922,"[5, 6]"
19.94310896231437,58.80124464300833,728.1102183501283,"[1, 5]"
21.375965427927824,67.86434648852772,406.9340654780258,[6]
24.87300313319181,73.89327774544137,893.8780603451868,"[5, 6]"
25.827607872033514,57.28021304832644,859.2807378991043,[5]
26.151460852564902,55.03926253148886,632.292582756289,[5]
25.421484546737517,51.99463576174274,744.441750478513,[5]
20.551147276851395,77.85134096079278,712.1634143077814,"[5, 6]"
21.273411538322257,76.15600732097167,314.27913749720886,[6]
23.29420745328529,71.13424709921914,454.1097864121974,[6]
24.18898325367653,65.94553712520563,533.2559523354253,"[5, 6]"
21.54529167555584,72.49093483634806,744.1805834042599,"[5, 6]"
21.408462130799336,56.85893860681679,381.86057760286326,[0]
25.957018721883635,68.28625632133978,817.2402305242091,"[5, 6]"
18.652008625356043,61.69323250472676,687.5859672224813,"[1, 5, 6]"
20.90114909986973,55.5716318234562,750.3455029341283,[5]
20.78343945335444,59.24939689981391,696.451034170576,[5]
27.579044779307395,51.78693454490898,546.9428743472862,[5]
22.81785767661965,52.09944459681267,514.9880574045234,[5]
25.237713827059363,60.70855523673063,699.7963915164286,"[5, 6]"
23.950371814980016,79.49122611068293,886.4092956173545,"[5, 6]"
19.63565383094812,57.4544051780557,687.1032684251093,"[1, 5]"
25.537887317508392,76.75226056173533,575.342494128,"[5, 6]"
23.81506813085537,61.84773943655373,437.37117547851904,[6]
24.34764120667466,71.56960828065017,507.9100070438058,"[5, 6]"
21.433490985722138,55.8227496196423,897.7962686333398,[5]
29.89082031401132,63.18153232517152,803.6860481041731,"[5, 6]"
21.677245201553,64.62989141215635,404.9375359080644,[6]
23.85341663297463,53.1655046818392,524.8635654327607,[5]
26.72331631506557,60.44382315289756,542.5745241603734,"[5, 6]"
25.503070582189764,66.79744624794102,731.5320336765169,"[5, 6]"
25.494411100041923,71.29557476115545,352.0971220608414,[6]
27.446946623970398,64.43269740097055,424.0606876624788,[6]
27.706816678562365,77.04686161641634,329.8392684928531,[6]
24.31815974917758,52.82231752553202,667.7572047053995,[5]
20.722946461904645,50.66308338087575,498.30319188279975,[0]
20.222629900281596,73.2700410917178,538.3773042855915,"[5, 6]"
23.540419446008976,61.00372381675051,661.8089627924628,"[5, 6]"
23.195928218593945,61.74044846765128,876.6335551823488,"[5, 6]"
28.34289706240328,65.72301252433046,303.2210566347508,[6]
19.85721279201837,59.545912983750526,536.1877633864865,"[1, 5]"
24.167604330307825,73.54855027226175,550.4615868680419,"[5, 6]"
29.92808737978806,63.37767712873049,425.9475167258986,[6]
27.05805198627927,56.16108279570405,791.9502435646797,[5]
22.726889195536607,72.2468122190536,808.0074181971193,"[5, 6]"
18.65963721344864,69.35931904853409,380.52720866378814,"[1, 6]"
